Feature,Importance
COURSE_PREF_COUNT,0.049551737
COURSE_CD_FULL_ALT_761AA.3,0.016669456
CURRENT_STUDENT_IND_N,0.013424639
LOCATION_DESCRIPTION_UC Melbourne - Chadstone Campus,0.008262948
COURSE_TYPE_GROUP1_BKEY_UG,0.008248137
FEE_PAYING_GROUP_DESCRIPTION_Overseas Fee-Paying,0.0071469033
COURSE_CD_FULL_ALT_322AA.5,0.006590584
RECENCY_DAYS,0.0064266
COURSE_TITLE_Master Of Information Technology And Systems,0.006191215
STUDENT_INT_DOM_Domestic,0.0060171993
"DEEWR_CITIZENSHIP_CITIZENSHIP OTHER THAN 1, 2, 3 OR 4 ABOVE",0.005907941
ADMISSION_YEAR,0.005632841
COURSE_CD_FULL_ALT_182JA.1,0.0053722463
FACULTY_CODE_SAS,0.005363621
SCHOLARSHIP_IND_N,0.005155729
COURSE_CD_FULL_ALT_762AA.3,0.004944682
BIRTH_COUNTRY_LEBANON,0.004871579
DAYS_TO_ENROLL,0.004552233
FEE_PAYING_GROUP_DESCRIPTION_Commonwealth Supported Places (CSP),0.004510113
"LOCATION_DESCRIPTION_UC - Canberra, Bruce",0.0040473486
"DEEWR_CITIZENSHIP_INT STUDENT RESIDING IN AUST, INCL STUDENT VISA, DIPLOMAT",0.0038423361
DEEWR_CITIZENSHIP_AUSTRALIAN CITIZEN (INCL AUSTRALIANS WITH DUAL CITIZENSHIP),0.0036813137
COURSE_CD_FULL_ALT_973AA.5,0.0034113664
BIRTH_COUNTRY_SOUTH SUDAN,0.0033752255
COURSE_CD_FULL_ALT_321JA.3,0.0033399204
BIRTH_COUNTRY_BHUTAN,0.0033233343
COURSE_TITLE_Bachelor Of Finance,0.003298992
COURSE_CD_FULL_ALT_149JA.4,0.003275689
COURSE_CD_FULL_ALT_325JA.1,0.0032244665
LOCATION_DESCRIPTION_UC Melbourne - Waverley Campus,0.0032125663
COURSE_CD_FULL_ALT_297JA.1,0.0031700647
COURSE_CD_FULL_ALT_297JA.2,0.0030866116
COURSE_CD_FULL_ALT_245JA.3,0.0030466
DISABILITY_IND_N,0.002987977
"LOCATION_DESCRIPTION_UC - Sydney Hills Campus, Castle Hill, NSW",0.0029865734
COURSE_TITLE_Bachelor Of Arts And Design (Honours),0.0029810253
COURSE_TITLE_Bachelor Of Secondary Education/Bachelor Of Arts,0.002704037
AVG_ACTION_GAP,0.0026397894
COURSE_CD_FULL_ALT_ARB003.1,0.002631755
COURSE_TITLE_Bachelor Of Information Technology/Bachelor Of Commerce,0.0026257245
COURSE_TITLE_Doctor Of Philosophy,0.0025835119
COURSE_CD_FULL_ALT_364JA.1,0.002577409
BIRTH_COUNTRY_SAUDI ARABIA,0.002536405
COURSE_CD_FULL_ALT_SCM002.1,0.0025209903
COURSE_CD_FULL_ALT_322AA.8,0.0025010572
COURSE_CD_FULL_ALT_266JA.3,0.0024965329
COURSE_CD_FULL_ALT_394AA.4,0.0024691115
BIRTH_COUNTRY_INDIA,0.002465687
COURSE_CD_FULL_ALT_560AA.5,0.0024560941
RESEARCH_COURSE_FLAG_N,0.0024491618
COURSE_TITLE_Master Of Business Administration (Plus),0.002434185
BIRTH_COUNTRY_AUSTRIA,0.0024256422
"DEEWR_CITIZENSHIP_NEW ZEALAND CITIZEN, NZ DIPLOMAT/CONSULAR EXC. AUST. CITIZEN",0.0024080588
BIRTH_COUNTRY_SAMOA,0.0023804833
COURSE_CD_FULL_ALT_187JA.1,0.0023500745
COURSE_TITLE_Bachelor Of Laws,0.0023438893
COURSE_CD_FULL_ALT_EDS001.1,0.0023380376
COURSE_CD_FULL_ALT_184JA.1,0.002335003
BIRTH_COUNTRY_JAPAN,0.0023203702
BIRTH_COUNTRY_THAILAND,0.00231578
TEACHING_PERIOD_DESCR_Teaching Period 1,0.002314984
COURSE_CD_FULL_ALT_SCM401.1,0.002293107
COURSE_CD_FULL_ALT_339JA.1,0.0022538071
COURSE_TITLE_Bachelor Of Business (Sport Management),0.0022409537
COURSE_CD_FULL_ALT_560AA.7,0.0022374871
AGE_RANGE_20 to 29,0.002227909
TEACHING_PERIOD_DESCR_Summer Teaching Period,0.0022241045
COURSE_CD_FULL_ALT_737AA.5,0.002218768
"BIRTH_COUNTRY_CONGO, DEMOCRATIC REPUBLIC OF",0.002198705
COURSE_TITLE_Bachelor Of Design,0.0021934872
COURSE_CD_FULL_ALT_158JA.1,0.0021907683
COURSE_CD_FULL_ALT_250JA.1,0.0021803046
COURSE_CD_FULL_ALT_HLB103.2,0.0021705993
BIRTH_COUNTRY_SIERRA LEONE,0.0021691755
COURSE_CD_FULL_ALT_HLB102.1,0.0021597724
COURSE_TITLE_Bachelor Of Exercise Physiology And Rehabilitation,0.002154455
COURSE_TITLE_Bachelor Of Early Childhood And Primary Education,0.00214761
COURSE_TITLE_Master Of Education,0.0021445765
COURSE_CD_FULL_ALT_973AA.6,0.0021355497
COURSE_CD_FULL_ALT_340JA.2,0.002124872
COURSE_CD_FULL_ALT_279JA.1,0.002117456
COURSE_TITLE_Master Of Forensic Studies In Forensic Science (Online),0.0021066063
COURSE_CD_FULL_ALT_274JA.5,0.0021045357
COURSE_CD_FULL_ALT_SCB001.1,0.002079274
COURSE_CD_FULL_ALT_MGB401.1,0.0020776002
COURSE_TITLE_Bachelor Of Vision Science,0.002074925
COURSE_TITLE_Bachelor Of Software Engineering,0.0020672004
COURSE_TITLE_Graduate Diploma In Medical Ultrasound,0.0020614641
COURSE_CD_FULL_ALT_186JA.2,0.0020476237
COURSE_CD_FULL_ALT_762AA.4,0.0020270355
DEEWR_CITIZENSHIP_PERMANENT RESIDENT STATUS (EXCL. NEW ZEALAND CITIZENS),0.0020237681
COURSE_TITLE_Master Of Speech Pathology,0.0020204596
COURSE_TITLE_Bachelor Of Science In Psychology (Honours),0.0020200573
COURSE_CD_FULL_ALT_SCB101.1,0.0019992373
COURSE_CD_FULL_ALT_258HG.1,0.0019977689
BIRTH_COUNTRY_COLOMBIA,0.00199214
"LOCATION_DESCRIPTION_UC - Canberra, Online",0.001990315
COURSE_TITLE_Bachelor Of Primary Education,0.0019873285
BIRTH_COUNTRY_UNITED STATES OF AMERICA,0.0019821175
COURSE_TYPE_GROUP1_BKEY_PG,0.0019782516
COURSE_CD_FULL_ALT_MGB302.1,0.0019674245
BIRTH_COUNTRY_EGYPT,0.00196548
COURSE_TITLE_Bachelor Of Business Administration,0.0019627905
COURSE_CD_FULL_ALT_SCAR02.1,0.0019463887
BIRTH_COUNTRY_SINGAPORE,0.001945668
COURSE_CD_FULL_ALT_688AA.8,0.0019338488
COURSE_TITLE_Bachelor Of Health Science,0.0019301663
AGE_NUM,0.0019289907
BIRTH_COUNTRY_TANZANIA,0.0019282673
COURSE_CD_FULL_ALT_ARB103.1,0.0019227127
COURSE_CD_FULL_ALT_ARB203.1,0.0019224948
COURSE_TITLE_Bachelor Of Secondary Education (Arts),0.0019222551
COURSE_TITLE_Master Of Physiotherapy,0.0019189784
COURSE_TITLE_Bachelor Of Engineering (Honours),0.0019179835
COURSE_CD_FULL_ALT_SCSC02.1,0.0019177514
BIRTH_COUNTRY_MONGOLIA,0.0019165496
COURSE_TITLE_Master Of Architecture,0.0019097907
COURSE_CD_FULL_ALT_686AA.6,0.0019081372
LOCATION_COUNTRY_Australia,0.001902558
COURSE_TITLE_Master Of Pharmacy,0.0018874663
BIRTH_COUNTRY_NEPAL,0.0018814576
COURSE_CD_FULL_ALT_793AA.8,0.001866173
COURSE_CD_FULL_ALT_838AA.4,0.0018656041
COURSE_CD_FULL_ALT_885AA.3,0.001861591
COURSE_CD_FULL_ALT_MGB303.1,0.0018598022
ABORIG_TORRES_OF ABORIGINAL ORIGIN,0.0018577928
BIRTH_COUNTRY_ZIMBABWE,0.001844396
COURSE_TITLE_Master Of Business Informatics,0.0018366112
COURSE_CD_FULL_ALT_335JA.1,0.0018350112
BIRTH_COUNTRY_CHILE,0.0018331576
COURSE_CD_FULL_ALT_344JA.1,0.0018322833
COURSE_CD_FULL_ALT_290JA.3,0.0018229239
COURSE_CD_FULL_ALT_324JA.2,0.0018056533
COURSE_TITLE_Bachelor Of Human Nutrition,0.0018007418
COURSE_TITLE_Bachelor Of Nursing,0.001800723
TEACHING_PERIOD_DESCR_Winter Teaching Period,0.0018000039
BIRTH_COUNTRY_UNITED ARAB EMIRATES,0.0017946884
COURSE_CD_FULL_ALT_361JA.1,0.0017886297
BIRTH_COUNTRY_TAIWAN,0.0017879301
BIRTH_COUNTRY_PAKISTAN,0.001777798
"LOCATION_DESCRIPTION_UCI - Royal Institute of Management, Bhutan",0.0017411809
COURSE_CD_FULL_ALT_791AA.5,0.001735596
COURSE_CD_FULL_ALT_174JA.1,0.0017281136
COURSE_CD_FULL_ALT_NPSC02.1,0.0017207274
COURSE_CD_FULL_ALT_ENB001.1,0.0017163458
"BIRTH_COUNTRY_KOREA, REPUBLIC OF (SOUTH)",0.0017050736
BIRTH_COUNTRY_PERU,0.0017041616
ABORIG_TORRES_OF TORRES STRAIT ISLANDER ORIGIN,0.0017006231
COURSE_CD_FULL_ALT_780AA.4,0.0016941399
COURSE_TITLE_Graduate Certificate In Human Movement Science,0.0016866281
COURSE_TITLE_Bachelor Of Applied Science In Forensic Studies,0.0016846358
COURSE_TITLE_Master Of Counselling,0.0016767842
COURSE_TITLE_Bachelor Of Arts (Digital Media),0.0016718153
BIRTH_COUNTRY_INDONESIA,0.0016710474
COURSE_TITLE_Bachelor Of Arts In Architecture,0.0016689756
COURSE_CD_FULL_ALT_ABB001.1,0.0016656457
COURSE_CD_FULL_ALT_309JA.3,0.0016628538
BIRTH_COUNTRY_UZBEKISTAN,0.0016608625
COURSE_CD_FULL_ALT_912AA.6,0.0016572576
COURSE_TITLE_Master Of Business Administration,0.0016565858
COURSE_CD_FULL_ALT_ARSC01.2,0.001653757
BIRTH_COUNTRY_BURMA (MYANMAR),0.0016536834
COURSE_CD_FULL_ALT_319JA.2,0.0016482363
COURSE_CD_FULL_ALT_846AA.6,0.0016417663
BIRTH_COUNTRY_ENGLAND,0.0016410896
"BIRTH_COUNTRY_CHINESE ASIA (INCLUDES MONGOLIA), NFD",0.0016404947
COURSE_CD_FULL_ALT_321JA.2,0.0016391608
COURSE_CD_FULL_ALT_MGB105.1,0.0016318836
COURSE_TITLE_Bachelor Of Physiotherapy,0.0016235064
BIRTH_COUNTRY_PAPUA NEW GUINEA,0.0016190319
COURSE_CD_FULL_ALT_334JA.1,0.0016171321
BIRTH_COUNTRY_ETHIOPIA,0.0016144182
BIRTH_COUNTRY_BENIN,0.0016126628
COURSE_CD_FULL_ALT_MGB108.1,0.001610144
COURSE_TITLE_Bachelor Of Management,0.0016098145
COURSE_TITLE_Bachelor Of Building And Construction Management,0.0016059307
COURSE_TITLE_Bachelor Of Business (Management),0.0016005519
COURSE_TITLE_Master Of Professional Accounting,0.001590694
COURSE_CD_FULL_ALT_MGB304.2,0.0015854869
COURSE_CD_FULL_ALT_254LC.2,0.0015851996
COURSE_TITLE_Bachelor Of Medical Science,0.0015772809
BIRTH_COUNTRY_BANGLADESH,0.0015706187
COURSE_CD_FULL_ALT_322AA.7,0.0015701643
COURSE_CD_FULL_ALT_326JA.2,0.0015670481
COURSE_TITLE_Bachelor Of Science In Psychology/ Bachelor Of Laws,0.0015654697
"LOCATION_DESCRIPTION_UC - TAFE NSW Northern Sydney, Ryde",0.0015581746
COURSE_CD_FULL_ALT_HLHL01.1,0.00155753
BIRTH_COUNTRY_TURKEY,0.0015565016
BIRTH_COUNTRY_TONGA,0.0015538184
COURSE_CD_FULL_ALT_284JA.2,0.001548613
COURSE_TITLE_Bachelor Of Business Informatics,0.0015473377
COURSE_CD_FULL_ALT_392AB.2,0.0015468842
BIRTH_COUNTRY_SCOTLAND,0.0015440529
BIRTH_COUNTRY_SUDAN,0.0015408489
COURSE_TITLE_Bachelor Of Secondary Education/Bachelor Of Science,0.0015393265
COURSE_TITLE_Bachelor Of Commerce,0.0015376477
DEEWR_CITIZENSHIP_INTERNATIONAL STUDENT STUDYING UCELI COURSE,0.0015364393
COURSE_CD_FULL_ALT_ABB201.1,0.0015344097
COURSE_CD_FULL_ALT_ARB004.1,0.001533458
COURSE_CD_FULL_ALT_985AA.1,0.0015323518
COURSE_CD_FULL_ALT_HLB101.1,0.0015273948
AGE_RANGE_60 to 69,0.0015181646
COURSE_TITLE_Bachelor Of Secondary Education (Health And Physical Education),0.0015125878
COURSE_TITLE_Bachelor Of Justice Studies,0.0015113748
COURSE_CD_FULL_ALT_ARB003.2,0.0015072138
COURSE_CD_FULL_ALT_723AA.5,0.001507042
COURSE_CD_FULL_ALT_202JA.2,0.0015002503
COURSE_CD_FULL_ALT_799AA.5,0.0014988253
COURSE_CD_FULL_ALT_ARB005.1,0.0014946093
COURSE_CD_FULL_ALT_HLB001.2,0.0014938328
AGE_RANGE_10 to 19,0.0014928007
COURSE_CD_FULL_ALT_984AA.2,0.00148214
BIRTH_COUNTRY_GERMANY,0.0014804578
BIRTH_COUNTRY_IRAN,0.0014759494
"LOCATION_DESCRIPTION_UC - TAFE Queensland, South Bank",0.0014670896
COURSE_TITLE_Bachelor Of Commerce/ Bachelor Of Information Technology,0.0014668208
COURSE_CD_FULL_ALT_HLB103.1,0.0014667022
COURSE_CD_FULL_ALT_124JA.3,0.0014590385
RESEARCH_STUDENT_IND_N,0.0014582166
BIRTH_COUNTRY_PHILIPPINES,0.0014554067
COURSE_CD_FULL_ALT_ARAR01.3,0.001455266
COURSE_TITLE_Bachelor Of Interior Architecture,0.0014545951
BIRTH_COUNTRY_BOTSWANA,0.001452835
BIRTH_COUNTRY_FIJI,0.001448494
COURSE_TITLE_Bachelor Of Sport And Exercise Science,0.001435235
BIRTH_COUNTRY_UGANDA,0.0014333408
COURSE_CD_FULL_ALT_266JA.7,0.0014301873
COURSE_TITLE_Bachelor Of Primary Education (Creative Arts),0.0014272431
BIRTH_COUNTRY_POLAND,0.0014222936
COURSE_CD_FULL_ALT_NPB002.1,0.0014222839
COURSE_TITLE_Bachelor Of Occupational Therapy,0.0014165834
COURSE_TITLE_Master Of Data Science,0.0014159925
COURSE_TITLE_Bachelor Of Pharmacy,0.0014070844
COURSE_TITLE_Bachelor Of Biomedical Science,0.0014044129
COURSE_CD_FULL_ALT_326JA.3,0.0014041915
COURSE_CD_FULL_ALT_301JA.1,0.0013996257
COURSE_CD_FULL_ALT_261JA.2,0.0013976482
COURSE_CD_FULL_ALT_164JA.3,0.0013971562
COURSE_CD_FULL_ALT_321JA.4,0.0013969407
BIRTH_COUNTRY_EAST TIMOR,0.001393281
COURSE_CD_FULL_ALT_913AA.5,0.0013917226
COURSE_CD_FULL_ALT_330JA.2,0.0013873443
COURSE_CD_FULL_ALT_791AA.4,0.0013873136
COURSE_CD_FULL_ALT_284JA.3,0.0013775452
COURSE_TITLE_Master Of Occupational Therapy,0.0013761355
COURSE_CD_FULL_ALT_ARB009.1,0.0013758052
BIRTH_COUNTRY_IRAQ,0.0013755029
COURSE_TITLE_Bachelor Of Communication And Media (Corporate And Public Communication),0.0013743467
COURSE_CD_FULL_ALT_356JA.1,0.0013709874
COURSE_CD_FULL_ALT_245JA.1,0.0013699875
COURSE_CD_FULL_ALT_SCG401.1,0.0013598306
COURSE_CD_FULL_ALT_429AA.6,0.0013540584
COURSE_TITLE_Master Degree Course In Juris Doctor,0.001351316
BIRTH_COUNTRY_NEW ZEALAND,0.0013476625
COURSE_CD_FULL_ALT_560AA.6,0.0013422837
COURSE_CD_FULL_ALT_215JA.2,0.0013419148
BIRTH_COUNTRY_SOUTH AFRICA,0.0013406829
COURSE_CD_FULL_ALT_322AA.6,0.0013406369
COURSE_CD_FULL_ALT_ABB101.1,0.001336974
COURSE_TITLE_Master Of Medical Imaging,0.0013345283
COURSE_CD_FULL_ALT_SCB201.1,0.0013330824
COURSE_CD_FULL_ALT_132JA.2,0.0013295828
COURSE_CD_FULL_ALT_ABB002.1,0.0013272798
COURSE_CD_FULL_ALT_SCC401.1,0.0013249749
COURSE_CD_FULL_ALT_357JA.2,0.0013206289
COURSE_CD_FULL_ALT_ARC201.2,0.0013195282
COURSE_TITLE_Bachelor Of Arts/Bachelor Of Laws,0.0013182372
COURSE_TITLE_Graduate Diploma In Counselling,0.0013163806
COURSE_CD_FULL_ALT_HLH201.1,0.0013160096
BIRTH_COUNTRY_NIGERIA,0.0013138744
COURSE_CD_FULL_ALT_364JA.2,0.0013123135
COURSE_TITLE_Master Of Nutrition And Dietetics,0.0013112766
BIRTH_COUNTRY_MALAYSIA,0.0013048479
COURSE_TITLE_Master Of Urban And Regional Planning,0.0013036698
COURSE_CD_FULL_ALT_ARB102.1,0.0012987496
ABORIG_TORRES_NEITHER ABORIGINAL NOR TORRES STRAIT ISLANDER ORIGIN,0.0012886825
COURSE_CD_FULL_ALT_EDM001.1,0.0012877398
COURSE_TITLE_Bachelor Of Politics And International Relations/Bachelor Of Commerce,0.0012863372
COURSE_CD_FULL_ALT_882AA.2,0.0012823934
COURSE_TITLE_Master Of Marketing Management,0.001280187
COURSE_CD_FULL_ALT_193JA.2,0.0012792733
COURSE_CD_FULL_ALT_ARC102.1,0.0012724147
COURSE_CD_FULL_ALT_321JA.1,0.0012650386
COURSE_CD_FULL_ALT_245JA.2,0.0012579274
COURSE_CD_FULL_ALT_686AA.5,0.0012579004
FACULTY_CODE_FCY-AAD,0.0012453359
COURSE_CD_FULL_ALT_953AA.1,0.001242478
COURSE_CD_FULL_ALT_772AA.6,0.0012411418
COURSE_CD_FULL_ALT_264JA.3,0.0012391147
COURSE_CD_FULL_ALT_327JA.3,0.0012338986
COURSE_CD_FULL_ALT_SCG101.1,0.0012325582
COURSE_CD_FULL_ALT_NPB001.1,0.001230019
COURSE_CD_FULL_ALT_248JA.2,0.0012267275
BIRTH_COUNTRY_HONG KONG (SAR OF CHINA),0.0012256146
COURSE_TITLE_Bachelor Of The Built Environment (Interior Architecture),0.0012227275
COURSE_CD_FULL_ALT_768AA.2,0.0012205385
COURSE_TITLE_Master Of Clinical Psychology,0.0012193471
BIRTH_COUNTRY_KENYA,0.0012189246
COURSE_CD_FULL_ALT_330JA.7,0.001211841
BIRTH_COUNTRY_CANADA,0.0012110905
COURSE_CD_FULL_ALT_SCG003.1,0.0012060369
COURSE_CD_FULL_ALT_330JA.5,0.0012059633
BIRTH_COUNTRY_SRI LANKA,0.0012041993
COURSE_CD_FULL_ALT_849AA.2,0.0012029195
COURSE_TITLE_Graduate Certificate In Heritage Materials Conservation,0.0011999798
COURSE_CD_FULL_ALT_ARAR02.1,0.0011944936
COURSE_CD_FULL_ALT_352JA.1,0.0011915184
COURSE_CD_FULL_ALT_147JA.3,0.0011896348
"LOCATION_DESCRIPTION_UC - Global Business College of Australia, Melbourne",0.0011887305
BIRTH_COUNTRY_KUWAIT,0.0011884603
COURSE_CD_FULL_ALT_780AA.2,0.001184836
COURSE_CD_FULL_ALT_324JA.4,0.0011836397
COURSE_CD_FULL_ALT_924AA.4,0.0011805275
BIRTH_COUNTRY_BRUNEI DARUSSALAM,0.0011800098
COURSE_TITLE_Bachelor Of Politics And International Relations,0.0011771207
COURSE_CD_FULL_ALT_723AA.4,0.0011748826
COURSE_TITLE_Bachelor Of Business Studies (Online),0.0011744321
BIRTH_COUNTRY_JORDAN,0.0011734329
BIRTH_COUNTRY_MAURITIUS,0.0011642615
COURSE_CD_FULL_ALT_706AA.8,0.0011608945
COURSE_CD_FULL_ALT_769AA.4,0.0011600398
COURSE_CD_FULL_ALT_322JA.2,0.0011596939
COURSE_CD_FULL_ALT_140AA.1,0.0011577433
BIRTH_COUNTRY_CHINA (EXCLUDES SARS AND TAIWAN),0.0011556512
COURSE_CD_FULL_ALT_332JA.1,0.0011554731
COURSE_CD_FULL_ALT_MGB103.1,0.0011520847
COURSE_CD_FULL_ALT_SCB001.2,0.0011517932
COURSE_CD_FULL_ALT_279JA.2,0.0011461478
COURSE_CD_FULL_ALT_371JA.1,0.0011435536
COURSE_CD_FULL_ALT_173JA.1,0.0011433804
COURSE_CD_FULL_ALT_326JA.1,0.0011419889
COURSE_CD_FULL_ALT_188JA.2,0.0011383956
COURSE_CD_FULL_ALT_924AA.5,0.0011362039
COURSE_CD_FULL_ALT_ITM001.1,0.0011350684
COURSE_TITLE_Bachelor Of Medical Radiation Science (Medical Imaging),0.001132121
BIRTH_COUNTRY_RUSSIAN FEDERATION,0.0011309201
COURSE_CD_FULL_ALT_973AA.3,0.001129323
COURSE_CD_FULL_ALT_EDC102.1,0.00112566
COURSE_TITLE_Bachelor Of Software Engineering/Bachelor Of Business Informatics,0.0011234485
FACULTY_CODE_FCY-STC,0.0011205573
COURSE_CD_FULL_ALT_ARSC01.1,0.0011201134
COURSE_TITLE_Bachelor Of Midwifery,0.0011190226
COURSE_CD_FULL_ALT_794AA.5,0.0011162688
COURSE_CD_FULL_ALT_132JA.3,0.0011131169
COURSE_CD_FULL_ALT_182JA.2,0.0011067267
FACULTY_CODE_FCY-BGL,0.0011036771
COURSE_TITLE_Graduate Certificate In Public Administration,0.0010950755
COURSE_CD_FULL_ALT_327JA.2,0.0010930896
COURSE_CD_FULL_ALT_202JA.3,0.0010917021
COURSE_CD_FULL_ALT_MGB106.1,0.0010916766
COURSE_TITLE_Master Of Communication,0.0010792102
COURSE_CD_FULL_ALT_203JA.1,0.0010739905
COURSE_CD_FULL_ALT_327JA.1,0.0010738554
COURSE_CD_FULL_ALT_767AA.4,0.001072449
FACULTY_CODE_FCY-EDC,0.0010717042
COURSE_TITLE_Bachelor Of Science In Psychology,0.0010708479
COURSE_CD_FULL_ALT_973AA.4,0.0010694505
BIRTH_COUNTRY_FRANCE,0.0010686326
COURSE_CD_FULL_ALT_158JA.4,0.0010672557
BIRTH_COUNTRY_QATAR,0.00106522
BIRTH_COUNTRY_AFGHANISTAN,0.0010641762
COURSE_CD_FULL_ALT_MGB301.1,0.0010593947
COURSE_CD_FULL_ALT_SCHL01.1,0.0010590614
BIRTH_COUNTRY_NETHERLANDS,0.0010581305
COURSE_CD_FULL_ALT_EDB001.1,0.0010564578
COURSE_TITLE_Bachelor Of Information Technology / Bachelor Of Media Arts And Production,0.0010554445
COURSE_CD_FULL_ALT_HLC301.1,0.0010532764
"LOCATION_DESCRIPTION_UC - TAFE NSW Northern Sydney, St Leonard's",0.00105305
COURSE_CD_FULL_ALT_SCC101.1,0.0010519903
COURSE_CD_FULL_ALT_186JA.1,0.001051871
COURSE_CD_FULL_ALT_MGAR01.1,0.0010496518
COURSE_CD_FULL_ALT_309JA.2,0.00104949
COURSE_TITLE_Bachelor Of Acting And Performance,0.0010446737
ABORIG_TORRES_OF ABORIGINAL AND TORRES STRAIT ISLANDER ORIGIN,0.0010431501
COURSE_CD_FULL_ALT_233JA.2,0.0010405603
BIRTH_COUNTRY_CAMBODIA,0.00103796
COURSE_TITLE_Bachelor Of Design (Industrial Design),0.0010369204
BIRTH_COUNTRY_BELGIUM,0.0010367553
COURSE_TITLE_Bachelor Of Information Technology,0.001035343
COURSE_CD_FULL_ALT_MGB101.1,0.0010336608
AGE_RANGE_40 to 49,0.001031103
COURSE_CD_FULL_ALT_223ZA.1,0.0010302543
COURSE_CD_FULL_ALT_202JA.4,0.0010259287
COURSE_CD_FULL_ALT_SCB301.1,0.0010257193
COURSE_CD_FULL_ALT_ARM201.2,0.0010174853
COURSE_CD_FULL_ALT_723AA.3,0.0010135629
COURSE_TITLE_Bachelor Of International Business,0.0010126184
COURSE_CD_FULL_ALT_142JA.3,0.0010115613
COURSE_TITLE_Bachelor Of Landscape Architecture (Honours),0.0010093873
COURSE_CD_FULL_ALT_158JA.3,0.0010078778
BIRTH_COUNTRY_GHANA,0.0010059873
BIRTH_COUNTRY_SYRIA,0.0010009127
COURSE_CD_FULL_ALT_SCHL01.2,0.0009998278
COURSE_TITLE_Graduate Diploma In Information Technology,0.000997909
BIRTH_COUNTRY_ARGENTINA,0.0009978785
COURSE_CD_FULL_ALT_333JA.1,0.0009942965
COURSE_CD_FULL_ALT_MGB305.1,0.0009934956
COURSE_CD_FULL_ALT_ARM201.1,0.0009931258
COURSE_CD_FULL_ALT_ARC601.1,0.0009918456
COURSE_CD_FULL_ALT_MGM201.1,0.0009910535
